2;arms_factory;1703.00;9.70;1155.00;4.10;0
2;arms_factory;1706.00;9.70;1148.00;0.48;0
2;arms_factory;1714.00;9.85;1160.00;3.15;0
2;arms_factory;1720.00;9.70;1152.00;6.16;0
2;arms_factory;1706.00;9.70;1166.00;1.09;0
2;arms_factory;1722.00;10.32;1160.00;5.21;0
2;industrial_complex;1718.00;10.32;1168.00;1.59;0
2;industrial_complex;1712.00;9.78;1177.00;3.15;0
2;industrial_complex;1709.00;9.78;1173.00;0.99;0
2;industrial_complex;1717.00;10.50;1182.00;3.66;0
2;industrial_complex;1729.00;10.85;1145.00;0.04;0
2;industrial_complex;1715.00;11.25;1187.00;1.60;0
2;air_base;1722.00;10.00;1145.00;5.72;0
2;anti_air_building;1714.00;9.70;1153.00;1.67;0
2;anti_air_building;1706.00;9.70;1161.00;4.33;0
2;anti_air_building;1717.00;9.93;1156.00;0.71;0
2;synthetic_refinery;1711.00;9.70;1167.00;3.73;0
2;fuel_silo;1727.00;11.07;1160.00;0.11;0
2;radar_station;1714.00;10.00;1165.00;4.90;0
2;rocket_site;1706.00;9.70;1179.00;5.44;0
2;nuclear_reactor;1716.00;10.55;1178.00;2.17;0
3;arms_factory;1751.00;9.70;1131.00;0.47;0
3;arms_factory;1762.00;9.85;1129.00;2.04;0
3;arms_factory;1748.00;12.18;1145.00;4.70;0
3;arms_factory;1763.00;9.78;1122.00;2.54;0
3;arms_factory;1743.00;9.70;1135.00;3.74;0
3;arms_factory;1750.00;9.70;1129.00;0.48;0
3;industrial_complex;1749.00;9.70;1131.00;3.14;0
3;industrial_complex;1741.00;12.20;1143.00;5.81;0
3;industrial_complex;1756.00;9.85;1120.00;2.54;0
3;industrial_complex;1760.00;9.93;1122.00;5.21;0
3;industrial_complex;1755.00;11.62;1137.00;1.59;0
3;industrial_complex;1748.00;9.70;1129.00;4.25;0
3;air_base;1742.00;12.05;1144.00;0.99;0
3;anti_air_building;1739.00;11.48;1141.00;4.77;0
3;anti_air_building;1754.00;9.70;1131.00;1.16;0
3;anti_air_building;1738.00;11.70;1144.00;5.28;0
3;synthetic_refinery;1751.00;13.15;1145.00;0.20;0
3;fuel_silo;1757.00;10.07;1123.00;3.22;0
3;radar_station;1751.00;9.78;1135.00;1.13;0
3;rocket_site;1754.00;9.70;1129.00;2.26;0
3;nuclear_reactor;1737.00;11.40;1141.00;0.11;0
2;supply_node;1715.00;9.70;1171.00;1.44;0
2;supply_node;1714.00;10.23;1147.00;4.37;0
2;supply_node;1723.00;11.70;1157.00;0.68;0
2;supply_node;1710.00;10.32;1182.00;3.61;0
2;supply_node;1698.00;9.85;1185.00;0.26;0
2;supply_node;1707.00;9.70;1159.00;2.85;0
2;supply_node;1727.00;10.20;1144.00;5.79;0
2;bunker;1705.00;9.70;1179.00;0.41;0
2;bunker;1699.00;9.78;1189.00;3.07;0
2;bunker;1728.00;10.50;1149.00;6.09;0
2;bunker;1724.00;11.38;1157.00;2.47;0
2;bunker;1719.00;10.62;1177.00;5.13;0
2;bunker;1704.00;9.98;1151.00;1.52;0
2;bunker;1715.00;9.70;1152.00;4.54;0
3;supply_node;1753.00;9.70;1130.00;0.68;0
3;supply_node;1748.00;12.18;1145.00;3.61;0
3;supply_node;1737.00;11.23;1144.00;0.26;0
